,methodName,className,classLink,packageName,packageLink
0,addCustomEventExtrasBundle,AdRequest.Builder,https://developers.google.com/android/reference/com/google/android/gms/ads/AdRequest.Builder.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
1,addKeyword,AdRequest.Builder,https://developers.google.com/android/reference/com/google/android/gms/ads/AdRequest.Builder.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
2,addNetworkExtras,AdRequest.Builder,https://developers.google.com/android/reference/com/google/android/gms/ads/AdRequest.Builder.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
3,addNetworkExtrasBundle,AdRequest.Builder,https://developers.google.com/android/reference/com/google/android/gms/ads/AdRequest.Builder.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
4,addTestDevice,AdRequest.Builder,https://developers.google.com/android/reference/com/google/android/gms/ads/AdRequest.Builder.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
5,build,AdRequest.Builder,https://developers.google.com/android/reference/com/google/android/gms/ads/AdRequest.Builder.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
6,setBirthday,AdRequest.Builder,https://developers.google.com/android/reference/com/google/android/gms/ads/AdRequest.Builder.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
7,setContentUrl,AdRequest.Builder,https://developers.google.com/android/reference/com/google/android/gms/ads/AdRequest.Builder.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
8,setGender,AdRequest.Builder,https://developers.google.com/android/reference/com/google/android/gms/ads/AdRequest.Builder.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
9,setIsDesignedForFamilies,AdRequest.Builder,https://developers.google.com/android/reference/com/google/android/gms/ads/AdRequest.Builder.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
10,setLocation,AdRequest.Builder,https://developers.google.com/android/reference/com/google/android/gms/ads/AdRequest.Builder.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
11,setMaxAdContentRating,AdRequest.Builder,https://developers.google.com/android/reference/com/google/android/gms/ads/AdRequest.Builder.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
12,setRequestAgent,AdRequest.Builder,https://developers.google.com/android/reference/com/google/android/gms/ads/AdRequest.Builder.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
13,setTagForUnderAgeOfConsent,AdRequest.Builder,https://developers.google.com/android/reference/com/google/android/gms/ads/AdRequest.Builder.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
14,tagForChildDirectedTreatment,AdRequest.Builder,https://developers.google.com/android/reference/com/google/android/gms/ads/AdRequest.Builder.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
