,className,classLink,packageName,packageLink
6,PublisherAdRequest.Builder,https://developers.google.com/android/reference/com/google/android/gms/ads/doubleclick/PublisherAdRequest.Builder.html,com.google.android.gms.ads.doubleclick,https://developers.google.com/android/reference/com/google/android/gms/ads/doubleclick/package-summary.html
7,PublisherAdView,https://developers.google.com/android/reference/com/google/android/gms/ads/doubleclick/PublisherAdView.html,com.google.android.gms.ads.doubleclick,https://developers.google.com/android/reference/com/google/android/gms/ads/doubleclick/package-summary.html
8,PublisherInterstitialAd,https://developers.google.com/android/reference/com/google/android/gms/ads/doubleclick/PublisherInterstitialAd.html,com.google.android.gms.ads.doubleclick,https://developers.google.com/android/reference/com/google/android/gms/ads/doubleclick/package-summary.html
0,NativeAdOptions.AdChoicesPlacement,https://developers.google.com/android/reference/com/google/android/gms/ads/formats/NativeAdOptions.AdChoicesPlacement.html,com.google.android.gms.ads.formats,https://developers.google.com/android/reference/com/google/android/gms/ads/formats/package-summary.html
1,NativeAdOptions.NativeMediaAspectRatio,https://developers.google.com/android/reference/com/google/android/gms/ads/formats/NativeAdOptions.NativeMediaAspectRatio.html,com.google.android.gms.ads.formats,https://developers.google.com/android/reference/com/google/android/gms/ads/formats/package-summary.html
2,NativeAppInstallAd.OnAppInstallAdLoadedListener,https://developers.google.com/android/reference/com/google/android/gms/ads/formats/NativeAppInstallAd.OnAppInstallAdLoadedListener.html,com.google.android.gms.ads.formats,https://developers.google.com/android/reference/com/google/android/gms/ads/formats/package-summary.html
3,NativeContentAd.OnContentAdLoadedListener,https://developers.google.com/android/reference/com/google/android/gms/ads/formats/NativeContentAd.OnContentAdLoadedListener.html,com.google.android.gms.ads.formats,https://developers.google.com/android/reference/com/google/android/gms/ads/formats/package-summary.html
4,NativeCustomTemplateAd,https://developers.google.com/android/reference/com/google/android/gms/ads/formats/NativeCustomTemplateAd.html,com.google.android.gms.ads.formats,https://developers.google.com/android/reference/com/google/android/gms/ads/formats/package-summary.html
5,NativeCustomTemplateAd.DisplayOpenMeasurement,https://developers.google.com/android/reference/com/google/android/gms/ads/formats/NativeCustomTemplateAd.DisplayOpenMeasurement.html,com.google.android.gms.ads.formats,https://developers.google.com/android/reference/com/google/android/gms/ads/formats/package-summary.html
6,NativeCustomTemplateAd.OnCustomClickListener,https://developers.google.com/android/reference/com/google/android/gms/ads/formats/NativeCustomTemplateAd.OnCustomClickListener.html,com.google.android.gms.ads.formats,https://developers.google.com/android/reference/com/google/android/gms/ads/formats/package-summary.html
7,NativeCustomTemplateAd.OnCustomTemplateAdLoadedListener,https://developers.google.com/android/reference/com/google/android/gms/ads/formats/NativeCustomTemplateAd.OnCustomTemplateAdLoadedListener.html,com.google.android.gms.ads.formats,https://developers.google.com/android/reference/com/google/android/gms/ads/formats/package-summary.html
8,OnPublisherAdViewLoadedListener,https://developers.google.com/android/reference/com/google/android/gms/ads/formats/OnPublisherAdViewLoadedListener.html,com.google.android.gms.ads.formats,https://developers.google.com/android/reference/com/google/android/gms/ads/formats/package-summary.html
9,UnifiedNativeAd.MediaContent,https://developers.google.com/android/reference/com/google/android/gms/ads/formats/UnifiedNativeAd.MediaContent.html,com.google.android.gms.ads.formats,https://developers.google.com/android/reference/com/google/android/gms/ads/formats/package-summary.html
10,UnifiedNativeAd.OnUnifiedNativeAdLoadedListener,https://developers.google.com/android/reference/com/google/android/gms/ads/formats/UnifiedNativeAd.OnUnifiedNativeAdLoadedListener.html,com.google.android.gms.ads.formats,https://developers.google.com/android/reference/com/google/android/gms/ads/formats/package-summary.html
11,UnifiedNativeAd.UnconfirmedClickListener,https://developers.google.com/android/reference/com/google/android/gms/ads/formats/UnifiedNativeAd.UnconfirmedClickListener.html,com.google.android.gms.ads.formats,https://developers.google.com/android/reference/com/google/android/gms/ads/formats/package-summary.html
12,AdChoicesView,https://developers.google.com/android/reference/com/google/android/gms/ads/formats/AdChoicesView.html,com.google.android.gms.ads.formats,https://developers.google.com/android/reference/com/google/android/gms/ads/formats/package-summary.html
13,MediaView,https://developers.google.com/android/reference/com/google/android/gms/ads/formats/MediaView.html,com.google.android.gms.ads.formats,https://developers.google.com/android/reference/com/google/android/gms/ads/formats/package-summary.html
14,NativeAd,https://developers.google.com/android/reference/com/google/android/gms/ads/formats/NativeAd.html,com.google.android.gms.ads.formats,https://developers.google.com/android/reference/com/google/android/gms/ads/formats/package-summary.html
15,NativeAd.AdChoicesInfo,https://developers.google.com/android/reference/com/google/android/gms/ads/formats/NativeAd.AdChoicesInfo.html,com.google.android.gms.ads.formats,https://developers.google.com/android/reference/com/google/android/gms/ads/formats/package-summary.html
16,NativeAd.Image,https://developers.google.com/android/reference/com/google/android/gms/ads/formats/NativeAd.Image.html,com.google.android.gms.ads.formats,https://developers.google.com/android/reference/com/google/android/gms/ads/formats/package-summary.html
17,NativeAdOptions,https://developers.google.com/android/reference/com/google/android/gms/ads/formats/NativeAdOptions.html,com.google.android.gms.ads.formats,https://developers.google.com/android/reference/com/google/android/gms/ads/formats/package-summary.html
