,className,classLink,classPath,android_added_version,library,package
1836,InputConfiguration,https://developer.android.com/reference/android/hardware/camera2/params/InputConfiguration.html,android.hardware.camera2.params.InputConfiguration,23,platform,android.hardware.camera2.params
1837,InputConnection,https://developer.android.com/reference/android/view/inputmethod/InputConnection.html,android.view.inputmethod.InputConnection,3,platform,android.view.inputmethod
1838,InputConnectionWrapper,https://developer.android.com/reference/android/view/inputmethod/InputConnectionWrapper.html,android.view.inputmethod.InputConnectionWrapper,3,platform,android.view.inputmethod
1839,InputContentInfo,https://developer.android.com/reference/android/view/inputmethod/InputContentInfo.html,android.view.inputmethod.InputContentInfo,25,platform,android.view.inputmethod
1840,InputDevice,https://developer.android.com/reference/android/view/InputDevice.html,android.view.InputDevice,9,platform,android.view
1841,InputDevice.MotionRange,https://developer.android.com/reference/android/view/InputDevice.MotionRange.html,android.view.InputDevice.MotionRange,9,platform,android.view
1842,InputEvent,https://developer.android.com/reference/android/view/InputEvent.html,android.view.InputEvent,9,platform,android.view
1843,InputFilter,https://developer.android.com/reference/android/text/InputFilter.html,android.text.InputFilter,1,platform,android.text
1844,InputFilter.AllCaps,https://developer.android.com/reference/android/text/InputFilter.AllCaps.html,android.text.InputFilter.AllCaps,1,platform,android.text
1845,InputFilter.LengthFilter,https://developer.android.com/reference/android/text/InputFilter.LengthFilter.html,android.text.InputFilter.LengthFilter,1,platform,android.text
1846,InputManager,https://developer.android.com/reference/android/hardware/input/InputManager.html,android.hardware.input.InputManager,16,platform,android.hardware.input
1847,InputManager.InputDeviceListener,https://developer.android.com/reference/android/hardware/input/InputManager.InputDeviceListener.html,android.hardware.input.InputManager.InputDeviceListener,16,platform,android.hardware.input
1848,InputMethod,https://developer.android.com/reference/android/view/inputmethod/InputMethod.html,android.view.inputmethod.InputMethod,3,platform,android.view.inputmethod
1849,InputMethod.SessionCallback,https://developer.android.com/reference/android/view/inputmethod/InputMethod.SessionCallback.html,android.view.inputmethod.InputMethod.SessionCallback,3,platform,android.view.inputmethod
1850,InputMethodInfo,https://developer.android.com/reference/android/view/inputmethod/InputMethodInfo.html,android.view.inputmethod.InputMethodInfo,3,platform,android.view.inputmethod
1851,InputMethodManager,https://developer.android.com/reference/android/view/inputmethod/InputMethodManager.html,android.view.inputmethod.InputMethodManager,3,platform,android.view.inputmethod
1852,InputMethodService,https://developer.android.com/reference/android/inputmethodservice/InputMethodService.html,android.inputmethodservice.InputMethodService,3,platform,android.inputmethodservice
1853,InputMethodService.InputMethodImpl,https://developer.android.com/reference/android/inputmethodservice/InputMethodService.InputMethodImpl.html,android.inputmethodservice.InputMethodService.InputMethodImpl,3,platform,android.inputmethodservice
1854,InputMethodService.InputMethodSessionImpl,https://developer.android.com/reference/android/inputmethodservice/InputMethodService.InputMethodSessionImpl.html,android.inputmethodservice.InputMethodService.InputMethodSessionImpl,3,platform,android.inputmethodservice
1855,InputMethodService.Insets,https://developer.android.com/reference/android/inputmethodservice/InputMethodService.Insets.html,android.inputmethodservice.InputMethodService.Insets,3,platform,android.inputmethodservice
1856,InputMethodSession,https://developer.android.com/reference/android/view/inputmethod/InputMethodSession.html,android.view.inputmethod.InputMethodSession,3,platform,android.view.inputmethod
1857,InputMethodSession.EventCallback,https://developer.android.com/reference/android/view/inputmethod/InputMethodSession.EventCallback.html,android.view.inputmethod.InputMethodSession.EventCallback,3,platform,android.view.inputmethod
1858,InputMethodSubtype,https://developer.android.com/reference/android/view/inputmethod/InputMethodSubtype.html,android.view.inputmethod.InputMethodSubtype,11,platform,android.view.inputmethod
1859,InputMethodSubtype.InputMethodSubtypeBuilder,https://developer.android.com/reference/android/view/inputmethod/InputMethodSubtype.InputMethodSubtypeBuilder.html,android.view.inputmethod.InputMethodSubtype.InputMethodSubtypeBuilder,19,platform,android.view.inputmethod
1860,InputMismatchException,https://developer.android.com/reference/java/util/InputMismatchException.html,java.util.InputMismatchException,1,platform,java.util
1861,InputQueue,https://developer.android.com/reference/android/view/InputQueue.html,android.view.InputQueue,9,platform,android.view
1862,InputQueue.Callback,https://developer.android.com/reference/android/view/InputQueue.Callback.html,android.view.InputQueue.Callback,9,platform,android.view
1863,InputSource,https://developer.android.com/reference/org/xml/sax/InputSource.html,org.xml.sax.InputSource,1,platform,org.xml.sax
1864,InputStream,https://developer.android.com/reference/java/io/InputStream.html,java.io.InputStream,1,platform,java.io
1865,InputStreamReader,https://developer.android.com/reference/java/io/InputStreamReader.html,java.io.InputStreamReader,1,platform,java.io
1866,InputType,https://developer.android.com/reference/android/text/InputType.html,android.text.InputType,3,platform,android.text
1867,InsetDrawable,https://developer.android.com/reference/android/graphics/drawable/InsetDrawable.html,android.graphics.drawable.InsetDrawable,1,platform,android.graphics.drawable
1868,Insets,https://developer.android.com/reference/android/graphics/Insets.html,android.graphics.Insets,29,platform,android.graphics
1869,InspectionCompanion,https://developer.android.com/reference/android/view/inspector/InspectionCompanion.html,android.view.inspector.InspectionCompanion,29,platform,android.view.inspector
1870,InspectionCompanion.UninitializedPropertyMapException,https://developer.android.com/reference/android/view/inspector/InspectionCompanion.UninitializedPropertyMapException.html,android.view.inspector.InspectionCompanion.UninitializedPropertyMapException,29,platform,android.view.inspector
1871,InspectionCompanionProvider,https://developer.android.com/reference/android/view/inspector/InspectionCompanionProvider.html,android.view.inspector.InspectionCompanionProvider,29,platform,android.view.inspector
1872,InstanceCountViolation,https://developer.android.com/reference/android/os/strictmode/InstanceCountViolation.html,android.os.strictmode.InstanceCountViolation,28,platform,android.os.strictmode
1873,Instant,https://developer.android.com/reference/java/time/Instant.html,java.time.Instant,26,platform,java.time
1874,InstantiationError,https://developer.android.com/reference/java/lang/InstantiationError.html,java.lang.InstantiationError,1,platform,java.lang
1875,InstantiationException,https://developer.android.com/reference/java/lang/InstantiationException.html,java.lang.InstantiationException,1,platform,java.lang
1876,Instrumentation,https://developer.android.com/reference/android/app/Instrumentation.html,android.app.Instrumentation,1,platform,android.app
1877,Instrumentation.ActivityMonitor,https://developer.android.com/reference/android/app/Instrumentation.ActivityMonitor.html,android.app.Instrumentation.ActivityMonitor,1,platform,android.app
1878,Instrumentation.ActivityResult,https://developer.android.com/reference/android/app/Instrumentation.ActivityResult.html,android.app.Instrumentation.ActivityResult,1,platform,android.app
1879,InstrumentationInfo,https://developer.android.com/reference/android/content/pm/InstrumentationInfo.html,android.content.pm.InstrumentationInfo,1,platform,android.content.pm
1880,InstrumentationTestCase,https://developer.android.com/reference/android/test/InstrumentationTestCase.html,android.test.InstrumentationTestCase,1,platform,android.test
1881,InstrumentationTestRunner,https://developer.android.com/reference/android/test/InstrumentationTestRunner.html,android.test.InstrumentationTestRunner,1,platform,android.test
1882,InstrumentationTestSuite,https://developer.android.com/reference/android/test/InstrumentationTestSuite.html,android.test.InstrumentationTestSuite,1,platform,android.test
1883,Int2,https://developer.android.com/reference/android/renderscript/Int2.html,android.renderscript.Int2,11,platform,android.renderscript
1884,Int3,https://developer.android.com/reference/android/renderscript/Int3.html,android.renderscript.Int3,11,platform,android.renderscript
1885,Int4,https://developer.android.com/reference/android/renderscript/Int4.html,android.renderscript.Int4,11,platform,android.renderscript
1886,Int64Ref,https://developer.android.com/reference/android/system/Int64Ref.html,android.system.Int64Ref,28,platform,android.system
1887,IntArrayEvaluator,https://developer.android.com/reference/android/animation/IntArrayEvaluator.html,android.animation.IntArrayEvaluator,21,platform,android.animation
1888,IntBinaryOperator,https://developer.android.com/reference/java/util/function/IntBinaryOperator.html,java.util.function.IntBinaryOperator,24,platform,java.util.function
1889,IntBuffer,https://developer.android.com/reference/java/nio/IntBuffer.html,java.nio.IntBuffer,1,platform,java.nio
1890,IntConsumer,https://developer.android.com/reference/java/util/function/IntConsumer.html,java.util.function.IntConsumer,24,platform,java.util.function
1891,Integer,https://developer.android.com/reference/java/lang/Integer.html,java.lang.Integer,1,platform,java.lang
1892,Intent,https://developer.android.com/reference/android/content/Intent.html,android.content.Intent,1,platform,android.content
1893,Intent.FilterComparison,https://developer.android.com/reference/android/content/Intent.FilterComparison.html,android.content.Intent.FilterComparison,1,platform,android.content
1894,Intent.ShortcutIconResource,https://developer.android.com/reference/android/content/Intent.ShortcutIconResource.html,android.content.Intent.ShortcutIconResource,1,platform,android.content
1895,IntentFilter,https://developer.android.com/reference/android/content/IntentFilter.html,android.content.IntentFilter,1,platform,android.content
1896,IntentFilter.AuthorityEntry,https://developer.android.com/reference/android/content/IntentFilter.AuthorityEntry.html,android.content.IntentFilter.AuthorityEntry,1,platform,android.content
